거래일시,적요,출금액,입금액,잔액
2026-06-01 09:00:00,카드매출 입금,,"420,000","4,420,000"
2026-06-03 09:07:00,도매 상품매입,"900,000",,"3,520,000"
2026-06-04 09:14:00,카드매출 입금,,"680,000","4,200,000"
2026-06-05 09:21:00,임대료 상가,"1,200,000",,"3,000,000"
2026-06-05 09:28:00,택배 발송비,"72,000",,"2,928,000"
2026-06-08 09:35:00,카드매출 입금,,"250,000","3,178,000"
2026-06-10 09:42:00,쿠팡 광고비,"90,000",,"3,088,000"
2026-06-11 09:49:00,카드매출 입금,,"830,000","3,918,000"
2026-06-12 09:56:00,도매 상품매입,"1,500,000",,"2,418,000"
2026-06-12 10:03:00,택배 발송비,"95,000",,"2,323,000"
2026-06-15 10:10:00,META*1234 광고비,"330,000",,"1,993,000"
2026-06-15 10:17:00,카드매출 입금,,"560,000","2,553,000"
2026-06-18 10:24:00,카드매출 입금,,"310,000","2,863,000"
2026-06-19 10:31:00,택배 발송비,"60,000",,"2,803,000"
2026-06-20 10:38:00,전기요금 자동이체,"88,000",,"2,715,000"
2026-06-21 10:45:00,도매 상품매입,"620,000",,"2,095,000"
2026-06-22 10:52:00,카드매출 입금,,"740,000","2,835,000"
2026-06-25 10:59:00,통신요금 자동이체,"55,000",,"2,780,000"
2026-06-25 11:06:00,카드매출 입금,,"900,000","3,680,000"
2026-06-26 11:13:00,택배 발송비,"118,000",,"3,562,000"
2026-06-28 11:20:00,도매 상품매입,"400,000",,"3,162,000"
2026-06-29 11:27:00,카드매출 입금,,"200,000","3,362,000"
2026-07-02 11:34:00,카드매출 입금,,"650,000","4,012,000"
2026-07-03 11:41:00,도매 상품매입,"1,100,000",,"2,912,000"
2026-07-03 11:48:00,택배 발송비,"84,000",,"2,828,000"
2026-07-04 11:55:00,쿠팡 광고비,"150,000",,"2,678,000"
2026-07-05 12:02:00,임대료 상가,"1,200,000",,"1,478,000"
2026-07-06 12:09:00,카드매출 입금,,"480,000","1,958,000"
2026-07-09 12:16:00,카드매출 입금,,"770,000","2,728,000"
2026-07-10 12:23:00,택배 발송비,"105,000",,"2,623,000"
2026-07-12 12:30:00,도매 상품매입,"780,000",,"1,843,000"
2026-07-13 12:37:00,카드매출 입금,,"420,000","2,263,000"
2026-07-15 12:44:00,META*1234 광고비,"350,000",,"1,913,000"
2026-07-16 12:51:00,카드매출 입금,,"680,000","2,593,000"
2026-07-17 12:58:00,택배 발송비,"72,000",,"2,521,000"
2026-07-20 13:05:00,전기요금 자동이체,"130,000",,"2,391,000"
2026-07-20 13:12:00,카드매출 입금,,"250,000","2,641,000"
2026-07-21 13:19:00,도매 상품매입,"950,000",,"1,691,000"
2026-07-22 13:26:00,네이버페이 정산입금,,"990,000","2,681,000"
2026-07-23 13:33:00,카드매출 입금,,"830,000","3,511,000"
2026-07-24 13:40:00,택배 발송비,"95,000",,"3,416,000"
2026-07-25 13:47:00,통신요금 자동이체,"55,000",,"3,361,000"
2026-07-27 13:54:00,카드매출 입금,,"560,000","3,921,000"
2026-07-28 14:01:00,도매 상품매입,"900,000",,"3,021,000"
2026-07-30 14:08:00,카드매출 입금,,"310,000","3,331,000"
2026-07-31 14:15:00,택배 발송비,"60,000",,"3,271,000"
2026-08-03 14:22:00,도매 상품매입,"1,500,000",,"1,771,000"
2026-08-03 14:29:00,배달대행 수수료,"42,000",,"1,729,000"
2026-08-03 14:36:00,카드매출 입금,,"740,000","2,469,000"
2026-08-05 14:43:00,임대료 상가,"1,200,000",,"1,269,000"
2026-08-06 14:50:00,카드매출 입금,,"900,000","2,169,000"
2026-08-07 14:57:00,택배 발송비,"118,000",,"2,051,000"
2026-08-10 15:04:00,배달대행 수수료,"45,000",,"2,006,000"
2026-08-10 15:11:00,카드매출 입금,,"200,000","2,206,000"
2026-08-12 15:18:00,도매 상품매입,"620,000",,"1,586,000"
2026-08-13 15:25:00,쿠팡 광고비,"200,000",,"1,386,000"
2026-08-13 15:32:00,카드매출 입금,,"650,000","2,036,000"
2026-08-14 15:39:00,META*1234 광고비,"345,000",,"1,691,000"
2026-08-14 15:46:00,택배 발송비,"84,000",,"1,607,000"
2026-08-17 15:53:00,배달대행 수수료,"44,000",,"1,563,000"
2026-08-17 16:00:00,카드매출 입금,,"480,000","2,043,000"
2026-08-19 16:07:00,네이버페이 정산입금,,"1,850,000","3,893,000"
2026-08-20 16:14:00,전기요금 자동이체,"62,000",,"3,831,000"
2026-08-20 16:21:00,카드매출 입금,,"770,000","4,601,000"
2026-08-21 16:28:00,도매 상품매입,"400,000",,"4,201,000"
2026-08-21 16:35:00,택배 발송비,"105,000",,"4,096,000"
2026-08-24 16:42:00,배달대행 수수료,"43,000",,"4,053,000"
2026-08-24 16:49:00,카드매출 입금,,"420,000","4,473,000"
2026-08-25 16:56:00,통신요금 자동이체,"55,000",,"4,418,000"
2026-08-27 17:03:00,카드매출 입금,,"680,000","5,098,000"
2026-08-28 17:10:00,도매 상품매입,"1,100,000",,"3,998,000"
2026-08-28 17:17:00,택배 발송비,"72,000",,"3,926,000"
2026-08-31 17:24:00,배달대행 수수료,"45,000",,"3,881,000"
2026-08-31 17:31:00,카드매출 입금,,"250,000","4,131,000"
2026-09-02 17:38:00,네이버페이 정산입금,,"1,120,000","5,251,000"
2026-09-03 17:45:00,도매 상품매입,"780,000",,"4,471,000"
2026-09-03 17:52:00,카드매출 입금,,"830,000","5,301,000"
2026-09-04 17:59:00,택배 발송비,"95,000",,"5,206,000"
2026-09-07 18:06:00,카드매출 입금,,"560,000","5,766,000"
